participant,target_angle,aligned,exclusive,inclusive
cur001,45,2.04773661913933,12.4234832852997,26.4084304495845
cur001,90,-1.31986606086627,5.87412610121177,24.0691326069536
cur001,135,-2.90047676267238,2.33633311853602,18.7762083776225
cur002,45,0.604980299951161,15.6411953164818,39.790400139535
cur002,90,-0.20048755031606,8.02393420434107,26.7684976352416
cur002,135,-2.65921023668081,-1.07447757084869,12.9969418109202
cur003,45,6.38233973256967,17.9296488027628,32.8552151081684
cur003,90,1.5112921694607,13.9162051742076,34.1600477884274
cur003,135,-3.00894943378949,5.15493817157448,25.1275082114834
cur004,45,0.623837592226406,9.65622122119139,10.2018869974033
cur004,90,-0.171555631397319,7.97218507183865,8.10595024825331
cur004,135,-2.31485077718356,5.61955417516342,9.41433992154834
cur005,45,-0.140539933171844,13.5388793573718,19.2123495429377
cur005,90,-2.17564270478662,13.6094746849354,8.05189006556788
cur005,135,-6.75403954335629,9.62548780179514,14.0934015938413
cur006,45,-1.30995939981203,12.5672543465768,28.5422781691259
cur006,90,1.70899908077218,12.2454474985331,22.7220642861649
cur006,135,3.95572537714771,17.0358969671461,25.942598470202
cur007,45,2.83956535203162,18.2638077725592,16.5629857230353
cur007,90,-3.02914873142645,10.353161383828,12.7231723545276
cur007,135,-5.89177246132125,3.30961023110611,5.64978724060445
cur008,45,20.1853588808014,36.1127909062078,57.6010026037265
cur008,90,8.81565000541222,19.6166207084843,34.37364143391
cur008,135,-2.29179035734188,5.01957534425071,15.8894199719088
cur009,45,-0.615384761696366,9.15326208438755,27.2470853698541
cur009,90,-2.06188079452813,8.30621959821522,21.6472840695061
cur009,135,0.758879157399273,8.8313307114501,19.6173835668859
cur010,45,-2.38113751639389,2.53364259576403,35.9015836257421
cur010,90,-1.69504262397628,-2.47335280258516,21.5951079370881
cur010,135,-3.16287184583629,-5.48363598517262,24.3889810354393
cur011,45,1.6868587001543,6.71484071804073,32.6246981342027
cur011,90,1.3506998431796,7.28770132788629,39.9321255715621
cur011,135,-2.39248204188946,9.17849663729071,33.3093833223804
cur012,45,-1.46647011802274,8.18234772650468,13.1938395814825
cur012,90,1.73896774413859,10.9865740132773,22.2030519405608
cur012,135,-0.661857907673939,10.7628358941511,13.2119457107411
cur013,45,-0.446804699508982,10.0593950689032,23.5715141427399
cur013,90,-0.032104042580443,9.8075788339264,17.8853394701247
cur013,135,-4.1175015711202,3.82581911424858,14.6928084814052
cur014,45,-4.26083735841336,16.8564546480153,20.0590203309079
cur014,90,0.255910401441095,10.444882637943,19.9682092775042
cur014,135,4.17749522563278,12.8167350352154,12.5641934912602
cur015,45,3.03127657304159,11.1967373314973,30.30138263616
cur015,90,-1.3833818779423,7.62116961022117,27.0879039465517
cur015,135,-2.22372250489037,3.8328653212818,17.1646701465155
cur016,45,7.96170466411547,9.55301454053532,29.9757188920902
cur016,90,-1.96633602552405,-0.25903891236806,18.1602246472139
cur016,135,-13.2402209963085,-3.44924565534988,14.6860330454837
cur017,45,-4.45522645864297,-0.648200803695406,27.2180719495041
cur017,90,0.436850399960593,3.06230492666571,38.9358013516723
cur017,135,2.99045196116822,9.68720780217986,32.3792193941543
cur018,45,0.92266937241301,5.26412335443727,20.9114684560849
cur018,90,-1.02917513631157,2.65827991471121,16.1269600929189
cur018,135,-2.90766537490025,-0.940140943769105,4.92088184467802
cur019,45,-3.3798903236227,8.84758551496906,26.704084052261
cur019,90,0.504148354480192,13.9044093217289,23.9433386017269
cur019,135,-0.0195357239590834,12.850990503504,27.3881520013017
cur020,45,-7.9095991781809,0.0327853458350106,14.1277532795232
cur020,90,-5.08250412530596,-4.25898923704201,18.5940089650243
cur020,135,0.770353362777617,3.71624328083016,14.0054273243252
