participant,age,sex,group,version,points
cur001,19,F,cursorjump,ie,1
cur002,19,M,cursorjump,ei,1
cur003,19,F,cursorjump,ie,1
cur004,19,F,cursorjump,ei,1
cur005,18,F,cursorjump,ie,0
cur006,21,F,cursorjump,ei,1
cur007,21,M,cursorjump,ie,3
cur008,26,M,cursorjump,ei,3
cur009,19,F,cursorjump,ei,3
cur010,18,F,cursorjump,ie,3
cur011,20,M,cursorjump,ei,3
cur012,42,F,cursorjump,ie,1
cur013,29,F,cursorjump,ei,3
cur014,26,F,cursorjump,ie,3
cur015,20,M,cursorjump,ie,3
cur016,23,M,cursorjump,ei,3
cur017,18,F,cursorjump,ie,3
cur018,19,F,cursorjump,ei,3
cur019,21,F,cursorjump,ie,3
cur020,18,F,cursorjump,ei,3
